STT,Nội dung,Phương án A,Phương án B,Phương án C,Phương án D,Phương án E,Phương án F,Phương án G,Phương án H,Phương án I,Phương án J,Đáp án,Tags
370,"Tại Mục 2.1 Chương III E-HSMT gói thầu xây lắp quy định nội dung sau: Trong thời gian từ 01/01/2022 đến thời điểm đóng thầu (năm 2025), nhà thầu đã hoàn thành toàn bộ hoặc hoàn thành phần lớn 01 công trình cấp II, có giá trị là 10 tỷ đồng với tư cách là nhà thầu chính (độc lập hoặc thành viên liên danh), nhà thầu quản lý hoặc nhà thầu phụ. Trường hợp nào sau đây nhà thầu được đánh giá là không đáp ứng yêu cầu về kinh nghiệm thực hiện hợp đồng tương tự?","Nhà thầu đã hoàn thành toàn bộ 02 công trình cấp III có giá trị lần lượt là 9 tỷ đồng và 11 tỷ đồng; các hợp đồng được ký kết năm 2022, hoàn thành năm 2025 (trước thời điểm đóng thầu).","Nhà thầu đã hoàn thành toàn bộ 01 công trình cấp II có giá trị là 10 tỷ đồng, hợp đồng được ký kết năm 2018, hoàn thành năm 2022.","Nhà thầu đã hoàn thành toàn bộ 01 công trình cấp II có giá trị là 10 tỷ đồng, hợp đồng được ký kết năm 2022, hoàn thành năm 2025 (trước thời điểm đóng thầu).",Tất cả phương án trên đều đáp ứng yêu cầu về kinh nghiệm thực hiện hợp đồng tương tự,,,,,,,A,P3
371,Nhà thầu đã thực hiện công tác lập hồ sơ thiết kế kỹ thuật cho dự án đầu tư xây dựng công trình được phép thực hiện công việc nào?,"Lập hồ sơ mời thầu cho các gói thầu xây lắp, mua sắm hàng hóa thuộc dự án.",Lập kế hoạch lựa chọn nhà thầu.,Cung cấp dịch vụ tư vấn giám sát thi công công trình của dự án.,Tất cả các phương án trên đều đúng,,,,,,,D,P3
372,Nội dung nào sau đây không thuộc trách nhiệm của chủ đầu tư?,Lập báo cáo đánh giá hồ sơ dự thầu.,Thương thảo hợp đồng.,Phê duyệt hồ sơ mời thầu.,Yêu cầu nhà thầu làm rõ hồ sơ dự thầu,,,,,,,A,P3
373,Nhà thầu tư vấn lập hồ sơ mời thầu gói thầu xây lắp được phép tham dự thầu gói thầu nào?,Tư vấn đánh giá hồ sơ dự thầu gói thầu xây lắp mà mình đã lập hồ sơ mời thầu.,Tư vấn thẩm định kết quả lựa chọn nhà thầu gói thầu xây lắp mà mình đã lập hồ sơ mời thầu.,Tư vấn giám sát thi công gói thầu xây lắp mà mình đã lập hồ sơ mời thầu.,Tất cả các phương án trên đều đúng,,,,,,,D,P3
374,"Khi tham dự thầu gói thầu mua sắm hàng hóa, trong hồ sơ dự thầu của nhà thầu tuyên bố giá dự thầu không bao gồm thuế, phí, lệ phí thì được đánh giá như thế nào?","Hồ sơ dự thầu của nhà thầu không được tiếp tục xem xét, đánh giá.","Hồ sơ dự thầu của nhà thầu được tiếp tục xem xét, đánh giá và giá dự thầu của nhà thầu được hiểu là đã bao gồm toàn bộ thuế, phí, lệ phí.","Tiến hành hiệu chỉnh sai lệch về thuế, phí, lệ phí của nhà thầu theo quy định.","Hồ sơ dự thầu của nhà thầu được tiếp tục xem xét, đánh giá và giá dự thầu của nhà thầu được hiểu là không bao gồm thuế, phí, lệ phí",,,,,,,A,P3
375,Yêu cầu về nguồn lực tài chính được áp dụng đối với gói thầu nào?,Tất cả các gói thầu.,"Chỉ áp dụng đối với gói thầu phi tư vấn, mua sắm hàng hóa.","Chỉ áp dụng đối với gói thầu phi tư vấn, mua sắm hàng hóa, xây lắp.",Tất cả các phương án trên đều sai,,,,,,,D,P3
376,Nhà thầu không thực hiện gia hạn hiệu lực hồ sơ dự thầu theo đề nghị của chủ đầu tư thì xử lý như thế nào?,Không được hoàn trả giá trị bảo đảm dự thầu.,Bị đánh giá về uy tín trong tham dự thầu và đăng tải trên hệ thống mạng đấu thầu quốc gia.,Được hoàn trả bảo đảm dự thầu cho nhà thầu.,Phương án A và B đều đúng,,,,,,,C,P3
377,Chủ đầu tư dự kiến lựa chọn gói thầu xây lắp theo hình thức chỉ định thầu theo quy trình thông thường. Nhà thầu dự kiến được mời nhận hồ sơ yêu cầu phải?,Được đánh giá về năng lực và kinh nghiệm.,Hạch toán tài chính độc lập.,Độc lập về pháp lý và độc lập về tài chính với chủ đầu tư.,Các phương án trên đều đúng,,,,,,,B,P3
378,"Doanh nghiệp nhà nước A thực hiện dự án đầu tư có tổng mức đầu tư 1000 tỷ đồng, trong đó vốn từ ngân sách nhà nước là 100 tỷ đồng, vốn tự có của doanh nghiệp là 900 tỷ đồng. Việc lựa chọn nhà thầu của dự án này có phải tuân thủ theo quy định của Luật Đấu thầu?",Không phải thực hiện theo quy định của Luật Đấu thầu và vốn ngân sách nhà nước thấp hơn 30% tổng mức đầu tư.,"Doanh nghiệp nhà nước A được tự quyết định việc lựa chọn nhà thầu trên cơ sở bảo đảm công bằng, minh bạch, hiệu quả và trách nhiệm giải trình.",Bắt buộc phải thực hiện theo Luật Đấu thầu.,Phương án A và B đều đúng,,,,,,,C,P3
379,"Công ty B do Doanh nghiệp nhà nước A nắm giữ 100% vốn điều lệ, Công ty B thực hiện dự án có tổng mức đầu tư 500 tỷ đồng, trong đó vốn từ ngân sách nhà nước là 100 tỷ đồng, 400 tỷ đồng là vốn tự có của Công ty B. Hỏi việc lựa chọn nhà thầu của dự án này có phải thực hiện theo quy định của Luật Đấu thầu hay không?",Không phải thực hiện theo quy định của Luật Đấu thầu và vốn ngân sách nhà nước thấp hơn 30% tổng mức đầu tư.,Không phải thực hiện theo quy định của Luật Đấu thầu nhưng phải thực hiện theo quy chế mua sắm của Doanh nghiệp nhà nước A.,"Công ty B được tự quyết định việc lựa chọn nhà thầu trên cơ sở bảo đảm công bằng, minh bạch, hiệu quả và trách nhiệm giải trình.",Bắt buộc phải thực hiện theo Luật Đấu thầu,,,,,,,D,P3
380,"Chủ đầu tư A đang lập E-HSMT cho gói thầu dịch vụ tư vấn, tiêu chuẩn đánh giá về kỹ thuật sử dụng phương pháp kết hợp giữa kỹ thuật và giá (thang điểm 100), điểm yêu cầu tối thiểu về kỹ thuật là 70 điểm, trong đó quy định điểm tối đa đối với từng nội dung như sau: - Kinh nghiệm và năng lực của nhà thầu: 5 điểm - Uy tín của nhà thầu: 5 điểm - Giải pháp và phương pháp luận: 30 điểm - Nhân sự chủ chốt: 60 điểm. Quy định nào sau đây về mức điểm yêu cầu tối thiểu về kỹ thuật đối với từng nội dung là phù hợp?",Kinh nghiệm và năng lực của nhà thầu: 3 điểm; uy tín của nhà thầu: 3 điểm; giải pháp và phương pháp luận: 18 điểm; nhân sự chủ chốt: 36 điểm.,"Kinh nghiệm và năng lực của nhà thầu: 3.5 điểm; uy tín của nhà thầu: 3,5 điểm; giải pháp và phương pháp luận: 21 điểm; nhân sự chủ chốt: 42 điểm.",Kinh nghiệm và năng lực của nhà thầu: 3 điểm; uy tín của nhà thầu: 0 điểm; giải pháp và phương pháp luận: 18 điểm; nhân sự chủ chốt: 36 điểm.,Kinh nghiệm và năng lực của nhà thầu: 3.5 điểm; uy tín của nhà thầu: 0 điểm; giải pháp và phương pháp luận: 21 điểm; nhân sự chủ chốt: 42 điểm,,,,,,,C,P3
381,Giá gói thầu được cập nhật trong thời hạn bao nhiêu ngày trước ngày mở thầu nếu cần thiết?,28 ngày.,18 ngày.,7 ngày.,7 ngày làm việc,,,,,,,A,P3
382,"Hồ sơ mời sơ tuyển được phát hành như thế nào, thời gian chuẩn bị hồ sơ dự sơ tuyển tối thiểu là bao nhiêu ngày?","Phát hành miễn phí trên Hệ thống mạng đấu thầu quốc gia, thời gian chuẩn bị tối thiểu là 7 ngày làm việc.","Phát hành trên Hệ thống mạng đấu thầu quốc gia với giá 110.000 đồng/hồ sơ, thời gian chuẩn bị tối thiểu là 9 ngày làm việc.","Phát hành miễn phí trên Hệ thống mạng đấu thầu quốc gia, thời gian chuẩn bị tối thiểu là 9 ngày làm việc.","Phát hành miễn phí trên Hệ thống mạng đấu thầu quốc gia, thời gian chuẩn bị tối thiểu là 9 ngày",,,,,,,D,P3
383,Chào giá trực tuyến theo quy trình rút gọn được áp dụng trong trường hợp nào?,"Gói thầu mua sắm hàng hóa phải mua của hãng sản xuất cụ thể để bảo đảm tính tương thích về công nghệ, bản quyền với các trang thiết bị, máy móc, phần mềm, dịch vụ sẵn có có giá gói thầu là 20 tỷ đồng.","Gói thầu cung cấp dịch vụ phi tư vấn phải mua của hãng sản xuất cụ thể để bảo đảm tính tương thích về công nghệ, bản quyền với các trang thiết bị, máy móc, phần mềm, dịch vụ sẵn có có giá gói thầu là 10 tỷ đồng.",Gói thầu mua sắm hàng hóa có giá gói thầu không quá 05 tỷ đồng đối với dự án.,Tất cả các phương án trên đều đúng,,,,,,,D,P3
384,"Đối với gói thầu dịch vụ xây dựng thuộc phạm vi điều chỉnh của Hiệp định CPTPP và tổ chức đấu thầu quốc tế, cơ quan mua sắm có thể áp dụng ưu đãi đối với nhà thầu nội khối nào?",Nhà thầu liên danh trong đó có thành viên liên danh là nhà thầu Nhật Bản và thành viên này đảm nhận từ 50% trở lên giá trị công việc của gói thầu.,Nhà thầu liên danh trong đó có thành viên liên danh là nhà thầu nội khối và thành viên này đảm nhận từ 25% trở lên giá trị công việc của gói thầu.,Nhà thầu liên danh trong đó có thành viên liên danh là nhà thầu Hoa Kỳ và thành viên này đảm nhận từ 50% trở lên giá trị công việc của gói thầu.,Nhà thầu liên danh trong đó có thành viên liên danh là nhà thầu nội khối và thành viên này đảm nhận từ 40% trở lên giá trị công việc của gói thầu,,,,,,,A,P3
385,Một trong các nguyên tắc lập kế hoạch lựa chọn nhà thầu theo quy định tại Nghị định số 95/2020/NĐ-CP là?,Không ghi rõ số lượng gói thầu.,Không được chia nhỏ gói thầu để tránh áp dụng Nghị định này.,Phải ghi toàn bộ phương thức lựa chọn nhà thầu là đấu thầu qua mạng.,Ghi thời gian bắt đầu tổ chức lựa chọn nhà thầu là ngày cụ thể trong năm,,,,,,,B,P3
386,"Đối với gói thầu chỉ thuộc phạm vi điều chỉnh của Hiệp định CPTPP, thời điểm chấm dứt áp dụng ưu đãi trong nước là?",14 tháng 01 năm 2038.,01 tháng 8 năm 2038.,14 tháng 01 năm 2044.,01 tháng 8 năm 2044,,,,,,,C,P3
387,"Đối với gói thầu thuộc phạm vi điều chỉnh của Hiệp định EVFTA, trong giai đoạn từ 01/8/2020 đến 13/01/2029, tổng giá trị ưu đãi trong nước tối đa trong một năm là?",30% tổng giá hợp đồng các gói thầu thuộc phạm vi điều chỉnh của Nghị định số 95/2020/NĐ-CP.,40% tổng giá hợp đồng các gói thầu thuộc phạm vi điều chỉnh của Nghị định số 95/2020/NĐ-CP.,50% tổng giá hợp đồng các gói thầu thuộc phạm vi điều chỉnh của Nghị định số 95/2020/NĐ-CP.,60% tổng giá hợp đồng các gói thầu thuộc phạm vi điều chỉnh của Nghị định số 95/2020/NĐ-CP,,,,,,,B,P3
388,"Một nhà thầu EU tham gia đấu thầu quốc tế gói thầu mua sắm hàng hóa thuộc Hiệp định EVFTA có chi phí sản xuất hàng hóa tại nước thành viên là 45%, gói thầu có áp dụng ưu đãi đối với hàng hóa từ các nước thành viên. Nhà thầu này có được hưởng ưu đãi không?",Không được hưởng ưu đãi vì chi phí sản xuất hàng hóa tại các nước thành viên dưới 50%.,Được hưởng ưu đãi vì có chi phí sản xuất hàng hóa tại nước thành viên.,Được hưởng ưu đãi vì tổng chi phí tại nước thành viên là 45%.,Không đủ thông tin để xác định tính chất phức tạp của gói thầu,,,,,,,A,P3
389,"Gói thầu thuộc phạm vi điều chỉnh của Hiệp định CPTPP mua sắm hàng hóa thông dụng, sẵn có trên thị trường với đặc tính kỹ thuật được tiêu chuẩn hóa, tương đương nhau về chất lượng và có giá gói thầu không quá 10 tỷ đồng thì thời gian chuẩn bị hồ sơ dự thầu tối thiểu là?",10 ngày.,15 ngày.,20 ngày.,25 ngày,,,,,,,A,P3
390,"Đối với gói thầu thuộc phạm vi điều chỉnh của Hiệp định EVFTA tổ chức đấu thầu quốc tế, có áp dụng ưu đãi đối với hàng hóa, nhà thầu nội khối, một trong các nguyên tắc ưu đãi là?","Sau khi tính ưu đãi, nếu các hồ sơ dự thầu xếp hạng ngang nhau thì ưu tiên cho nhà thầu sử dụng nhiều lao động nội khối hơn (tính trên giá trị tiền lương, tiền công chi trả).","Sau khi tính ưu đãi, nếu các hồ sơ dự thầu xếp hạng ngang nhau thì ưu tiên cho nhà thầu có đề xuất chi phí nội khối thấp hơn.",Nhà thầu được hưởng tất cả các ưu đãi thuộc đối tượng áp dụng.,"Sau khi tính ưu đãi, nếu các hồ sơ dự thầu xếp hạng ngang nhau thì ưu tiên cho nhà thầu có đề xuất chi phí nội khối ít chênh lệch nhất so với yêu cầu của hồ sơ mời thầu",,,,,,,A,P3
